Market_and_Exchange_Names,Report_Date_as_MM_DD_YYYY,Comm_Net_All,NonComm_Net_All,NonRept_Net_All
COPPER- #1 - COMMODITY EXCHANGE INC.,2005-08-09,-15696,16364,-668
COPPER- #1 - COMMODITY EXCHANGE INC.,2005-08-16,-15776,14763,1013
COPPER- #1 - COMMODITY EXCHANGE INC.,2005-08-23,-11711,10862,849
COPPER- #1 - COMMODITY EXCHANGE INC.,2005-08-30,-10515,9355,1160
COPPER- #1 - COMMODITY EXCHANGE INC.,2005-09-06,-11309,9767,1542
COPPER- #1 - COMMODITY EXCHANGE INC.,2005-09-13,-7276,6251,1025
COPPER- #1 - COMMODITY EXCHANGE INC.,2005-09-20,-8237,6895,1342
COPPER- #1 - COMMODITY EXCHANGE INC.,2005-09-27,-10435,9217,1218
COPPER- #1 - COMMODITY EXCHANGE INC.,2005-10-04,-11166,9521,1645
COPPER- #1 - COMMODITY EXCHANGE INC.,2005-10-11,-11584,11111,473
COPPER- #1 - COMMODITY EXCHANGE INC.,2005-10-18,-8813,7326,1487
COPPER- #1 - COMMODITY EXCHANGE INC.,2005-10-25,-2194,1231,963
COPPER- #1 - COMMODITY EXCHANGE INC.,2005-11-01,-3050,3227,-177
COPPER- #1 - COMMODITY EXCHANGE INC.,2005-11-08,-5580,5739,-159
COPPER- #1 - COMMODITY EXCHANGE INC.,2005-11-15,-8329,7527,802
COPPER- #1 - COMMODITY EXCHANGE INC.,2005-11-22,-5664,6453,-789
